record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
1,redONE,Afghanistan,South Asia,prepaid,,,,,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
2,redONE,Afghanistan,South Asia,postpaid,,,,,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
123,redONE,El Salvador,Central America,prepaid,2.17,2.17,0.5,video_call=1.26/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
124,redONE,El Salvador,Central America,postpaid,2.17,2.17,0.5,video_call=1.26/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
125,redONE,Equatorial Guinea,Africa,prepaid,2.17,2.17,0.5,video_call=2.86/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
126,redONE,Equatorial Guinea,Africa,postpaid,2.17,2.17,0.5,video_call=2.86/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
127,redONE,Eritrea,Africa,prepaid,2.17,2.17,0.5,video_call=3.22/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
128,redONE,Eritrea,Africa,postpaid,2.17,2.17,0.5,video_call=3.22/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
129,redONE,Estonia,Europe,prepaid,2.17,2.17,0.5,video_call=2.15/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
130,redONE,Estonia,Europe,postpaid,2.17,2.17,0.5,video_call=2.15/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
131,redONE,Ethiopia,Africa,prepaid,2.17,2.17,0.5,video_call=1.61/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
132,redONE,Ethiopia,Africa,postpaid,2.17,2.17,0.5,video_call=1.61/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
133,redONE,Falkland Islands,Europe,prepaid,11.17,11.17,0.5,video_call=10.22/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
134,redONE,Falkland Islands,Europe,postpaid,11.17,11.17,0.5,video_call=10.22/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
135,redONE,Faroe Islands,Europe,prepaid,2.17,2.17,0.5,video_call=0.15/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
136,redONE,Faroe Islands,Europe,postpaid,2.17,2.17,0.5,video_call=0.15/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
137,redONE,Fiji,Oceania,prepaid,2.17,2.17,0.5,video_call=1.82/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
138,redONE,Fiji,Oceania,postpaid,2.17,2.17,0.5,video_call=1.82/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
139,redONE,Finland,Europe,prepaid,2.17,2.17,0.5,video_call=17.5/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
140,redONE,Finland,Europe,postpaid,2.17,2.17,0.5,video_call=17.5/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
141,redONE,France,Europe,prepaid,0.79,0.16,0.5,video_call=1.02/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
142,redONE,France,Europe,postpaid,0.79,0.16,0.5,video_call=1.02/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
143,redONE,French Guyana,South America,prepaid,2.17,2.17,0.5,video_call=1.63/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
144,redONE,French Guyana,South America,postpaid,2.17,2.17,0.5,video_call=1.63/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
145,redONE,French Polynesia,Oceania,prepaid,2.17,2.17,0.5,video_call=1.72/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
146,redONE,French Polynesia,Oceania,postpaid,2.17,2.17,0.5,video_call=1.72/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
147,redONE,Gabon,Africa,prepaid,2.17,2.17,0.5,video_call=2.6/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
148,redONE,Gabon,Africa,postpaid,2.17,2.17,0.5,video_call=2.6/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
149,redONE,Gambia,Africa,prepaid,2.17,2.17,0.5,video_call=4.82/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
150,redONE,Gambia,Africa,postpaid,2.17,2.17,0.5,video_call=4.82/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
